Line,Category,Misconfigured_Param,Snippet
20,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=172.16.0.1,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_306.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
21,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=10.0.0.1,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_374.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
22,GTP/Interface Creation Failure,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=192.168.8.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
23,Configuration/Syntax Error,gNBs.plmn_list.mnc=-1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
24,SCTP Connection Refused,security.ciphering_algorithms[0]=nea5,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
25,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=invalid.ip,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_59.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_conf
26,Configuration/Syntax Error,gNBs.plmn_list.snssaiList.sst=1000,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
27,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=192.168.8.43,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_365.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
28,Configuration/Syntax Error,gNBs.plmn_list.mcc=1000,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
29,GTP/Interface Creation Failure,gNBs.local_s_address=192.168.1.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
30,GTP/Interface Creation Failure,gNBs.local_s_address=127.0.0.5a,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
31,SCTP Connection Refused,gNBs.plmn_list.mcc=0,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
32,Configuration/Syntax Error,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NGU=None,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_222.conf - line 57: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
33,Configuration/Syntax Error,gNBs.plmn_list.mcc=1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
34,GTP/Interface Creation Failure,gNBs.local_s_address=127.0.0.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
35,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=12345,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_116.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
36,Configuration/Syntax Error,gNBs.plmn_list.mnc_length=5,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
37,Configuration/Syntax Error,gNBs={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_134.conf - line 8: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_conf
38,SCTP Connection Refused,gNBs.tr_s_preference=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
39,Configuration/Syntax Error,gNBs.amf_ip_address=None,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_228.conf - line 51: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
40,Unknown/Other,security.ciphering_algorithms[0]=nea5,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
41,Configuration/Syntax Error,gNBs.plmn_list.snssaiList.sst=256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
42,SCTP Connection Refused,gNBs.tr_s_preference=f3,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
43,SCTP Connection Refused,security.ciphering_algorithms[0]=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
44,SCTP Connection Refused,security.integrity_algorithms[0]=nia9,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
45,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=192.168.70.999,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_217.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
46,SCTP Connection Refused,security.drb_integrity=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
47,SCTP Connection Refused,security.ciphering_algorithms[3]=nea8,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
48,Configuration/Syntax Error,gNBs.plmn_list.mnc_length=10,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
49,SCTP Connection Refused,gNBs.gNB_name=123,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
50,Configuration/Syntax Error,gNBs.plmn_list.mcc=-1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
51,GTP/Interface Creation Failure,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NGU=127.0.0.5,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
52,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=192.168.70.256,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_351.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
53,GTP/Interface Creation Failure,gNBs.local_s_address=192.168.1.1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
54,GTP/Interface Creation Failure,gNBs.local_s_address=192.168.1.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
55,Unknown/Other,Active_gNBs=[],[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
56,SCTP Connection Refused,gNBs.gNB_ID=,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
57,Configuration/Syntax Error,gNBs.local_s_if_name=None,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_266.conf - line 33: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
58,Configuration/Syntax Error,gNBs.plmn_list.mcc=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
59,GTP/Interface Creation Failure,gNBs.local_s_address=127.0.0.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
60,Configuration/Syntax Error,gNBs.plmn_list.mnc_length=0,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
61,SCTP Connection Refused,gNBs.plmn_list.mnc=0,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
62,Configuration/Syntax Error,gNBs.SCTP={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_138.conf - line 43: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
63,Configuration/Syntax Error,gNBs.gNB_name=None,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
64,Configuration/Syntax Error,gNBs.plmn_list.mnc=10000,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
65,Configuration/Syntax Error,gNBs.plmn_list.mnc_length=0,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
66,SCTP Connection Refused,security.drb_ciphering=maybe,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
67,Unknown/Other,gNBs.plmn_list.mnc_length=0,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
68,SCTP Connection Refused,security.integrity_algorithms[0]=nia4,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
69,Configuration/Syntax Error,gNBs.remote_s_address=None,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_242.conf - line 35: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
70,SCTP Connection Refused,gNBs.gNB_name=,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
71,GTP/Interface Creation Failure,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=192.168.8.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
72,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=192.168.70.132/24,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_232.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
73,Configuration/Syntax Error,gNBs.plmn_list={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_137.conf - line 59: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
74,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=10.0.0.1,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_251.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
75,SCTP Connection Refused,security.integrity_algorithms[0]=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
76,GTP/Interface Creation Failure,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=192.168.8.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
77,SCTP Connection Refused,gNBs.gNB_ID=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
78,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=192.168.70.256,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_380.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
79,Configuration/Syntax Error,gNBs.local_s_if_name=None,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_246.conf - line 33: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
80,SCTP Connection Refused,security.drb_integrity=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
81,SCTP Connection Refused,security.drb_ciphering=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
82,Configuration/Syntax Error,gNBs.NETWORK_INTERFACES={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_75.conf - line 55: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_conf
83,SCTP Connection Refused,security.integrity_algorithms[0]=nia9,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
84,Configuration/Syntax Error,gNBs.plmn_list.mcc=-1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
85,SCTP Connection Refused,Active_gNBs=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
86,Configuration/Syntax Error,gNBs.plmn_list.mnc=-1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
87,Configuration/Syntax Error,security={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_80.conf - line 63: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_conf
88,SCTP Connection Refused,security.integrity_algorithms[0]=nia9,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
89,Configuration/Syntax Error,gNBs.NETWORK_INTERFACES={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_140.conf - line 55: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
90,Unknown/Other,gNBs.plmn_list.snssaiList.sst=256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
91,Configuration/Syntax Error,gNBs.plmn_list.mcc=10000,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
