filename,modified_key,original_value,error_value,error_type,affected_module,impact_description,option,source_file,domain_density
DU_case_019.json,gNBs[0].servingCellConfigCommon[0].msg1_SubcarrierSpacing,1,2,invalid enum,RRC,Invalid subcarrier spacing for message 1,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_020.json,gNBs[0].servingCellConfigCommon[0].restrictedSetConfig,0,1,invalid enum,RRC,Invalid restricted set configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_021.json,gNBs[0].servingCellConfigCommon[0].msg3_DeltaPreamble,1,2,invalid enum,RRC,Invalid delta preamble for message 3,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_022.json,gNBs[0].servingCellConfigCommon[0].p0_NominalWithGrant,-90,-91,out of range,RRC,Invalid P0 nominal with grant,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_023.json,gNBs[0].servingCellConfigCommon[0].pucchGroupHopping,0,1,invalid enum,RRC,Invalid PUCCH group hopping,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_024.json,gNBs[0].servingCellConfigCommon[0].hoppingId,40,41,out of range,RRC,Invalid hopping ID,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_025.json,gNBs[0].servingCellConfigCommon[0].p0_nominal,-90,-91,out of range,RRC,Invalid P0 nominal,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_026.json,gNBs[0].servingCellConfigCommon[0].ssb_PositionsInBurst_Bitmap,1,2,invalid enum,RRC,Invalid SSB positions in burst bitmap,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.16666666666666666
DU_case_027.json,gNBs[0].servingCellConfigCommon[0].ssb_periodicityServingCell,2,3,invalid enum,RRC,Invalid SSB periodicity serving cell,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.2
DU_case_028.json,gNBs[0].servingCellConfigCommon[0].dmrs_TypeA_Position,0,1,invalid enum,RRC,Invalid DMRS type A position,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.2
DU_case_029.json,gNBs[0].servingCellConfigCommon[0].subcarrierSpacing,1,2,invalid enum,RRC,Invalid subcarrier spacing,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_030.json,gNBs[0].servingCellConfigCommon[0].referenceSubcarrierSpacing,1,2,invalid enum,RRC,Invalid reference subcarrier spacing,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_031.json,gNBs[0].servingCellConfigCommon[0].dl_UL_TransmissionPeriodicity,6,7,out of range,RRC,Invalid DL-UL transmission periodicity,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_032.json,gNBs[0].servingCellConfigCommon[0].nrofDownlinkSlots,7,8,out of range,RRC,Invalid number of downlink slots,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_033.json,gNBs[0].servingCellConfigCommon[0].nrofDownlinkSymbols,6,7,out of range,RRC,Invalid number of downlink symbols,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_034.json,gNBs[0].servingCellConfigCommon[0].nrofUplinkSlots,2,3,out of range,RRC,Invalid number of uplink slots,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_035.json,gNBs[0].servingCellConfigCommon[0].nrofUplinkSymbols,4,5,out of range,RRC,Invalid number of uplink symbols,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_036.json,gNBs[0].servingCellConfigCommon[0].ssPBCH_BlockPower,-25,-26,out of range,RRC,Invalid SSB PBCH block power,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.2
DU_case_037.json,MACRLCs[0].num_cc,1,2,out of range,MAC,Invalid number of CC,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_038.json,MACRLCs[0].tr_s_preference,local_L1,f1,invalid enum,MAC,Invalid transport stream preference,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_039.json,MACRLCs[0].tr_n_preference,f1,local_mac,invalid enum,MAC,Invalid transport network preference,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_040.json,MACRLCs[0].local_n_address,127.0.0.3,127.0.0.4,invalid format,MAC,Invalid local network address,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_041.json,MACRLCs[0].remote_n_address,127.0.0.5,127.0.0.6,invalid format,MAC,Invalid remote network address,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_042.json,MACRLCs[0].local_n_portc,500,501,out of range,MAC,Invalid local network port C,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_043.json,MACRLCs[0].local_n_portd,2152,2153,out of range,MAC,Invalid local network port D,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_044.json,MACRLCs[0].remote_n_portc,501,502,out of range,MAC,Invalid remote network port C,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_045.json,MACRLCs[0].remote_n_portd,2152,2153,out of range,MAC,Invalid remote network port D,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_046.json,L1s[0].num_cc,1,2,out of range,L1,Invalid number of CC,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_047.json,L1s[0].tr_n_preference,local_mac,f1,invalid enum,L1,Invalid transport network preference,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_048.json,L1s[0].prach_dtx_threshold,120,121,out of range,L1,Invalid PRACH DTX threshold,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_049.json,L1s[0].pucch0_dtx_threshold,150,151,out of range,L1,Invalid PUCCH 0 DTX threshold,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.2
DU_case_050.json,L1s[0].ofdm_offset_divisor,8,9,out of range,L1,Invalid OFDM offset divisor,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_051.json,RUs[0].local_rf,yes,no,invalid enum,RU,Invalid local RF configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_052.json,RUs[0].nb_tx,4,5,out of range,RU,Invalid number of transmit antennas,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_053.json,RUs[0].nb_rx,4,5,out of range,RU,Invalid number of receive antennas,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_054.json,RUs[0].att_tx,0,1,out of range,RU,Invalid transmit attenuation,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_055.json,RUs[0].att_rx,0,1,out of range,RU,Invalid receive attenuation,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_056.json,RUs[0].bands,[78],[79],invalid format,RU,Invalid frequency band configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_057.json,RUs[0].max_pdschReferenceSignalPower,-27,-28,out of range,RU,Invalid maximum PDSCH reference signal power,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_058.json,RUs[0].max_rxgain,114,115,out of range,RU,Invalid maximum receive gain,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_059.json,RUs[0].sf_extension,0,1,invalid enum,RU,Invalid subframe extension,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_060.json,RUs[0].eNB_instances,[0],[1],invalid format,RU,Invalid eNB instance configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_061.json,RUs[0].clock_src,internal,external,invalid enum,RU,Invalid clock source,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_062.json,RUs[0].ru_thread_core,6,7,out of range,RU,Invalid RU thread core,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_063.json,RUs[0].sl_ahead,5,6,out of range,RU,Invalid scheduling lookahead,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_064.json,RUs[0].do_precoding,0,1,invalid enum,RU,Invalid precoding configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_065.json,rfsimulator.serveraddr,server,client,invalid enum,RF simulator,Invalid server address,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_066.json,rfsimulator.serverport,4043,4044,out of range,RF simulator,Invalid server port,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_067.json,rfsimulator.options,[],['saviq'],invalid format,RF simulator,Invalid options configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_068.json,rfsimulator.modelname,AWGN,Rician,invalid enum,RF simulator,Invalid model name,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_069.json,rfsimulator.IQfile,/tmp/rfsimulator.iqs,/tmp/rfsimulator.iq,invalid format,RF simulator,Invalid IQ file configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_070.json,log_config.global_log_level,info,debug,invalid enum,Logging,Invalid global log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_071.json,log_config.hw_log_level,info,debug,invalid enum,Logging,Invalid hardware log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_072.json,log_config.phy_log_level,info,debug,invalid enum,Logging,Invalid physical log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_073.json,log_config.mac_log_level,info,debug,invalid enum,Logging,Invalid MAC log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_074.json,log_config.rlc_log_level,info,debug,invalid enum,Logging,Invalid RLC log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_075.json,log_config.pdcp_log_level,info,debug,invalid enum,Logging,Invalid PDCP log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_076.json,log_config.rrc_log_level,info,debug,invalid enum,Logging,Invalid RRC log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_077.json,log_config.f1ap_log_level,info,debug,invalid enum,Logging,Invalid F1AP log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_078.json,log_config.ngap_log_level,info,debug,invalid enum,Logging,Invalid NGAP log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_079.json,fhi_72.dpdk_devices,"['0000:ca:02.0', '0000:ca:02.1']","['0000:ca:02.0', '0000:ca:02.2']",invalid format,FHI 72,Invalid DPDK device configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_080.json,fhi_72.system_core,0,1,out of range,FHI 72,Invalid system core,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_081.json,fhi_72.io_core,4,5,out of range,FHI 72,Invalid I/O core,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_082.json,fhi_72.worker_cores,[2],[3],invalid format,FHI 72,Invalid worker core configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_083.json,fhi_72.ru_addr,"['e8:c7:4f:25:80:ed', 'e8:c7:4f:25:80:ed']","['e8:c7:4f:25:80:ed', 'e8:c7:4f:25:80:ee']",invalid format,FHI 72,Invalid RU address configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_084.json,fhi_72.mtu,9000,9001,out of range,FHI 72,Invalid MTU,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_085.json,fhi_72.fh_config[0].T1a_cp_dl,"[285, 429]","[286, 430]",invalid format,FHI 72,Invalid T1a CP DL configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_086.json,fhi_72.fh_config[0].T1a_cp_ul,"[285, 429]","[286, 430]",invalid format,FHI 72,Invalid T1a CP UL configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_087.json,fhi_72.fh_config[0].T1a_up,"[96, 196]","[97, 197]",invalid format,FHI 72,Invalid T1a UP configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_088.json,fhi_72.fh_config[0].Ta4,"[110, 180]","[111, 181]",invalid format,FHI 72,Invalid Ta4 configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_089.json,fhi_72.fh_config[0].ru_config.iq_width,9,10,out of range,FHI 72,Invalid IQ width,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_090.json,fhi_72.fh_config[0].ru_config.iq_width_prach,9,10,out of range,FHI 72,Invalid IQ width PRACH,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_091.json,fhi_72.fh_config[0].prach_config.kbar,0,1,invalid enum,FHI 72,Invalid K-bar,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_092.json,gNBs[0].pdsch_AntennaPorts_XP,2,a,wrong type,PHY,Invalid antenna port configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_093.json,gNBs[0].servingCellConfigCommon[0].dl_frequencyBand,78,a,wrong type,RRC,Invalid frequency band,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_094.json,MACRLCs[0].num_cc,1,a,wrong type,MAC,Invalid number of CC,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_095.json,L1s[0].num_cc,1,a,wrong type,L1,Invalid number of CC,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_096.json,RUs[0].local_rf,yes,a,wrong type,RU,Invalid local RF configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_097.json,rfsimulator.serveraddr,server,a,wrong type,RF simulator,Invalid server address,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_098.json,log_config.global_log_level,info,a,wrong type,Logging,Invalid global log level,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_099.json,fhi_72.dpdk_devices,"['0000:ca:02.0', '0000:ca:02.1']","['a', 'b']",wrong type,FHI 72,Invalid DPDK device configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0
DU_case_100.json,gNBs[0].servingCellConfigCommon[0].prach_ConfigurationIndex,98,99.5,wrong type,RRC,Invalid PRACH configuration index,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25
DU_case_001.json,gNBs[0].gNB_ID,0xe00,0xff,out of range,RRC,Invalid gNB ID will cause RRC to fail initialization.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.2222222222222222
DU_case_002.json,gNBs[0].pdsch_AntennaPorts_XP,2,0,out of range,MAC,Zero antenna ports will cause MAC to fail scheduling.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.1111111111111111
DU_case_003.json,gNBs[0].servingCellConfigCommon[0].dl_frequencyBand,78,79,out of range,PHY,Invalid frequency band will cause PHY to fail modulation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.1111111111111111
DU_case_004.json,gNBs[0].SCTP.SCTP_INSTREAMS,2,3,out of range,SCTP,Invalid number of streams will cause SCTP to fail connection establishment.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.09090909090909091
DU_case_005.json,gNBs[0].SCTP.SCTP_OUTSTREAMS,2,0,out of range,SCTP,Zero outstreams will cause SCTP to fail connection establishment.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.1111111111111111
DU_case_006.json,MACRLCs[0].num_cc,1,0,out of range,MAC,Zero number of CC will cause MAC to fail scheduling.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.1
DU_case_007.json,MACRLCs[0].tr_s_preference,local_L1,invalid,invalid enum,MAC,Invalid TR-S preference will cause MAC to fail scheduling.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.1
DU_case_008.json,L1s[0].prach_dtx_threshold,120,-1,out of range,L1,Invalid PRACH DTX threshold will cause L1 to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.1
DU_case_009.json,L1s[0].ofdm_offset_divisor,8,0,out of range,L1,Zero OFDM offset divisor will cause L1 to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_010.json,RUs[0].local_rf,yes,no,logical contradiction,RU,Local RF disabled will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_011.json,RUs[0].nb_tx,4,0,out of range,RU,Zero number of TX will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_012.json,RUs[0].bands,[78],[79],out of range,RU,Invalid frequency band will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_013.json,RUs[0].max_pdschReferenceSignalPower,-27,0,out of range,RU,Zero maximum PDSCH reference signal power will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_014.json,RUs[0].max_rxgain,114,0,out of range,RU,Zero maximum RX gain will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_015.json,RUs[0].sf_extension,0,1,logical contradiction,RU,SF extension enabled will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_016.json,RUs[0].eNB_instances,[0],[1],out of range,RU,Invalid eNB instance will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_017.json,RUs[0].clock_src,internal,external,logical contradiction,RU,External clock source will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_018.json,RUs[0].ru_thread_core,6,0,out of range,RU,Zero RU thread core will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_019.json,RUs[0].sl_ahead,5,0,out of range,RU,Zero SL ahead will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_020.json,RUs[0].do_precoding,0,1,logical contradiction,RU,Precoding enabled will cause RU to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_021.json,fhi_72.dpdk_devices,"[('0000:ca:02.0', '0000:ca:02.1')]","[('0000:ca:02.0', '0000:ca:02.2')]",out of range,fhi_72,Invalid DPDK device will cause fhi_72 to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_022.json,fhi_72.system_core,0,1,out of range,fhi_72,Invalid system core will cause fhi_72 to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_023.json,fhi_72.io_core,4,0,out of range,fhi_72,Zero IO core will cause fhi_72 to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_024.json,fhi_72.worker_cores,[2],[1],out of range,fhi_72,Invalid worker core will cause fhi_72 to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
DU_case_025.json,fhi_72.ru_addr,"[('e8:c7:4f:25:80:ed', 'e8:c7:4f:25:80:ed')]","[('e8:c7:4f:25:80:ee', 'e8:c7:4f:25:80:ee')]",out of range,fhi_72,Invalid RU address will cause fhi_72 to fail operation.,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_2.json,0.0
